timestamp_utc,country,model_name,model_version,train_start,train_end,validation_rmse,validation_mae,runtime_seconds
2026-09-21T05:35:35.134356+00:00,all,random_forest,1.0,2018-02-06,2019-07-02,101007.2535,88759.9501,2.163
2026-09-21T05:35:37.282094+00:00,united_kingdom,random_forest,1.0,2018-02-06,2019-07-02,116346.6384,104566.723,2.147
2026-09-21T05:35:39.380922+00:00,eire,random_forest,1.0,2018-02-06,2019-06-29,4680.5085,3668.032,2.099
2026-09-21T05:35:41.446226+00:00,germany,random_forest,1.0,2018-02-06,2019-07-02,1074.7893,844.3644,2.065
2026-09-21T05:35:43.396040+00:00,france,gradient_boosting,1.0,2018-02-06,2019-07-02,1536.8364,1261.3214,1.95
2026-09-21T05:35:45.192363+00:00,norway,gradient_boosting,1.0,2018-02-12,2019-06-20,8624.7061,7739.3711,1.796
2026-09-21T05:35:47.067469+00:00,spain,gradient_boosting,1.0,2018-02-08,2019-06-26,766.7205,591.0149,1.875
2026-09-21T05:35:48.527747+00:00,hong_kong,gradient_boosting,1.0,2018-06-27,2019-05-21,2472.7388,2013.048,1.46
2026-09-21T05:35:50.410275+00:00,portugal,linear_regression,1.0,2018-02-06,2019-07-02,1245.6447,843.8975,1.882
2026-09-21T05:35:51.852192+00:00,singapore,gradient_boosting,1.0,2018-07-03,2019-06-16,3772.882,2817.5905,1.442
2026-09-21T05:35:53.842387+00:00,netherlands,gradient_boosting,1.0,2018-02-07,2019-06-18,333.7248,289.5834,1.99
