country,model_name,mean_rmse,mean_mae,std_rmse,folds
all,random_forest,101007.2534724116,88759.95005281827,56716.70302406167,4
all,gradient_boosting,110512.85189297698,99653.25030865769,66218.10146806706,4
all,trailing_30d_baseline,118433.7946252994,81247.81528320312,,1
all,linear_regression,196882.34838139682,152851.04823054938,132520.58519559653,4
united_kingdom,trailing_30d_baseline,115959.01372604862,77218.88427929688,,1
united_kingdom,random_forest,116346.63844195806,104566.72298785699,75879.97255448658,4
united_kingdom,gradient_boosting,119051.06184116425,107444.2181235956,81105.15879271776,4
united_kingdom,linear_regression,164756.96045675324,130616.39528878522,95632.73880891665,4
eire,random_forest,4680.508474457348,3668.0320307564516,3092.4780643050385,4
eire,gradient_boosting,4712.8211654933775,3737.790540326998,3200.6386805784728,4
eire,trailing_30d_baseline,5705.003219224928,4066.9002946954815,,1
eire,linear_regression,6930.371520499119,5813.402308505753,4016.598109207851,4
germany,random_forest,1074.7893168709113,844.3643911623114,567.9845722779257,4
germany,gradient_boosting,1152.0170254876957,909.5693148212399,433.7243410397865,4
germany,trailing_30d_baseline,1368.6434159498988,1008.4944960937498,,1
germany,linear_regression,2213.8438512353296,1881.2019147243357,776.9205613338627,4
france,gradient_boosting,1536.8364130307045,1261.3214172079568,593.7811858064251,4
france,trailing_30d_baseline,1554.4920901259236,1136.76359375,,1
france,random_forest,1589.3914990650608,1292.8734772835887,622.9749333090715,4
france,linear_regression,2092.6295863893793,1650.7021793873876,419.0785038988471,4
norway,gradient_boosting,8624.706051547293,7739.371115869955,12124.159571918119,4
norway,random_forest,9355.365424205873,8488.93199594206,11689.083542437611,4
norway,trailing_30d_baseline,11742.475252596469,4471.068178137652,,1
norway,linear_regression,260359.95655703254,148146.93768879588,414819.6076813632,4
spain,gradient_boosting,766.720531819298,591.0148546633206,543.6491582230803,4
spain,random_forest,768.3880653235153,594.6422618464684,581.4051137989776,4
spain,linear_regression,987.2866490958752,836.308309768287,616.2976917260102,4
spain,trailing_30d_baseline,1002.1179869007639,557.2308928571427,,1
hong_kong,gradient_boosting,2472.7387925743615,2013.047975418511,1112.7845197092859,4
hong_kong,random_forest,2677.8775305443473,2144.921821914936,944.8802375743636,4
hong_kong,trailing_30d_baseline,2702.6955204870546,1659.093860182371,,1
hong_kong,linear_regression,2716.948355461258,2293.2217597586264,1362.9882622715281,4
portugal,linear_regression,1245.6447102606633,843.8974559102335,1400.4194857281645,4
portugal,gradient_boosting,1271.7022668812099,836.3183154513014,1398.0680122948886,4
portugal,random_forest,1349.2203151913563,926.3319079573389,1339.8425294184412,4
portugal,trailing_30d_baseline,2294.6832707585213,1008.5025976562501,,1
singapore,gradient_boosting,3772.8819516305325,2817.5904786922993,3642.935392797017,4
singapore,random_forest,3843.128856499725,2818.8068230577674,3712.777755089264,4
singapore,trailing_30d_baseline,5103.330807401033,2199.2452722063035,,1
singapore,linear_regression,83909.44849646145,68963.37730810298,140079.601432459,4
netherlands,gradient_boosting,333.72477594806185,289.5834116820723,157.39505473512165,4
netherlands,random_forest,338.4621215536361,302.00017604168784,168.94456113445665,4
netherlands,linear_regression,354.1423370310192,312.7854998816241,123.19194013111456,4
netherlands,trailing_30d_baseline,418.0861935171478,312.4558551307847,,1
