country,display_name,n_forecasts,model_rmse,model_mae,baseline_rmse,baseline_mae,rmse_improvement_pct,target_mean_shift_pct
all,All Countries,99,167430.42612175518,139701.19654643146,64955.9764747347,59852.84286868686,-157.7598478361378,20.94479040207556
eire,EIRE,98,9207.459551093252,7876.938182595688,1184.3658213722201,1016.1557142857142,-677.4168576072726,-19.632519903205306
france,France,99,7561.382795449642,4942.536267439142,7938.554078286664,5902.282929292931,4.751133255722271,238.79317870024065
germany,Germany,99,1754.3550423488682,1465.0182155934071,1605.4711865673517,1205.7489898989897,-9.273530227580821,80.44200808362233
hong_kong,Hong Kong,74,2745.3735448195503,2316.801744348098,4480.9432461103725,4019.449189189189,38.73224019958241,169.26188313460906
netherlands,Netherlands,98,212.3354310920287,165.8989175806878,318.94998917205993,256.92112244897953,33.426731995335786,19.33098217843625
norway,Norway,99,602.8309041797276,587.9062701663503,234.60773639581384,208.49646464646463,-156.95269620653247,-75.63154348971905
portugal,Portugal,97,3719.9876436199365,3261.2577293401605,1428.8200072859488,1104.0478350515466,-160.35383215864042,24.468077446078244
singapore,Singapore,48,1864.9334478417284,736.6120050842798,1781.3373805514773,341.2233333333333,-4.692882336771262,-75.09760884907044
spain,Spain,97,542.9906896775584,446.43048478507853,480.7055729368834,405.9339175257732,-12.957019898898375,69.53375757255709
united_kingdom,United Kingdom,99,174997.97751346327,145857.8788237448,63600.273347310205,54338.13105050504,-175.1528701108367,17.723282651911884
